UNITID,INSTNM,CITY,STABBR,ZIP,AccredAgency,INSTURL,NPCURL,sch_deg,HCM2,LATITUDE,LONGITUDE,CCSIZSET,ADM_RATE
108269,Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,Accreditation Commission for Acupuncture and Oriental Medicine,www.acchs.edu,www.acchs.edu,Null,0,37.8067,-122.2727,0.0,0.0
114585,Five Branches University,Santa Cruz,CA,95062,Accreditation Commission for Acupuncture and Oriental Medicine,www.fivebranches.edu,www.fivebranches.edu,Null,0,36.9641,-121.9985,0.0,0.0
123633,South Baylo University,Anaheim,CA,92801-1701,Accreditation Commission for Acupuncture and Oriental Medicine,WWW.SOUTHBAYLO.EDU,www.southbaylo.edu,Null,0,33.8479,-117.9587,0.0,0.0
130581,Tri-State College of Acupuncture,New York,NY,10011,Accreditation Commission for Acupuncture and Oriental Medicine,www.TSCA.edu,www.tsca.edu,Null,0,40.7399,-74.0021,0.0,0.0
141936,World Medicine Institute,Honolulu,HI,96821,Accreditation Commission for Acupuncture and Oriental Medicine,www.wmi.edu,www.wmi.edu,Null,0,21.2964,-157.7547,0.0,0.0
401250,Yo San University of Traditional Chinese Medicine,Los Angeles,CA,90066,Accreditation Commission for Acupuncture and Oriental Medicine,www.yosan.edu,www.yosan.edu,Null,0,33.9929,-118.4429,0.0,0.0
430591,American College of Traditional Chinese Medicine,San Francisco,CA,94107,Accreditation Commission for Acupuncture and Oriental Medicine,www.actcm.edu,www.actcm.edu/content.php?topmenu=4&root=4&id=319,Null,0,37.7605,-122.3982,0.0,0.0
439446,Atlantic Institute of Oriental Medicine,Fort Lauderdale,FL,33301-3510,Accreditation Commission for Acupuncture and Oriental Medicine,www.atom.edu,www.atom.edu,Null,0,26.122,-80.1422,0.0,0.0
439783,New York College of Traditional Chinese Medicine,Mineola,NY,11501,Accreditation Commission for Acupuncture and Oriental Medicine,www.nyctcm.edu,www.nyctcm.edu,Null,0,40.7427,-73.6383,0.0,0.0
439914,Seattle Institute of Oriental Medicine,Seattle,WA,98115-6467,Accreditation Commission for Acupuncture and Oriental Medicine,www.siom.edu,www.siom.edu,Null,0,47.6779,-122.3237,0.0,0.0
444699,Institute of Clinical Acupuncture & Oriental Med,Honolulu,HI,96817,Accreditation Commission for Acupuncture and Oriental Medicine,www.orientalmedicine.edu,www.orientalmedicine.edu/NetPrice/npcalc,Null,0,21.3139,-157.8609,0.0,0.0
446002,American Academy of Acupuncture and Oriental Medicine,Roseville,MN,55113,Accreditation Commission for Acupuncture and Oriental Medicine,www.aaaom.edu,www.aaaom.edu,Null,0,45.0158,-93.1814,0.0,0.0
446224,Eastern School of Acupuncture and Traditional Medicine,Montclair,NJ,07042-3551,Accreditation Commission for Acupuncture and Oriental Medicine,www.EasternSchool.com,www.EasternSchool.com,Null,0,40.813,-74.2161,0.0,0.0
447698,Phoenix Institute of Herbal Medicine & Acupuncture,Phoenix,AZ,85012,Accreditation Commission for Acupuncture and Oriental Medicine,www.pihma.edu,www.pihma.edu,Null,0,33.5229,-112.0688,0.0,0.0
447801,University of East-West Medicine,Sunnyvale,CA,94085-3922,Accreditation Commission for Acupuncture and Oriental Medicine,www.uewm.edu,www.uewm.edu,Null,0,37.3863,-121.996,0.0,0.0
449481,Dragon Rises College of Oriental Medicine,Gainesville,FL,32601,Accreditation Commission for Acupuncture and Oriental Medicine,www.dragonrises.edu,www.dragonrises.edu/students/disclosures/,Null,0,29.6674,-82.3128,0.0,0.0
449579,Hawaii College of Oriental Medicine,Hilo,HI,96720,Accreditation Commission for Acupuncture and Oriental Medicine,www.hicom.edu,www.hicom.edu,Null,0,20.0177,-155.6598,0.0,0.0
451079,Academy for Five Element Acupuncture,Gainesville,FL,32601,Accreditation Commission for Acupuncture and Oriental Medicine,www.acupuncturist.edu,www.acupuncturist.edu,Null,0,29.6501,-82.322,0.0,0.0
454838,Institute of Taoist Education and Acupuncture,Louisville,CO,80027,Accreditation Commission for Acupuncture and Oriental Medicine,www.itea.edu,www.itea.edu,Null,0,39.9873,-105.1385,0.0,0.0
459222,Southern California University SOMA,Los Angeles,CA,90017,Accreditation Commission for Acupuncture and Oriental Medicine,www.scusoma.edu,www.scusoma.edu,Null,1,34.0552,-118.2696,0.0,0.0
461139,Jung Tao School of Classical Chinese Medicine,Sugar Grove,NC,28679-9657,Accreditation Commission for Acupuncture and Oriental Medicine,www.jungtao.edu,www.jungtao.edu/index.php/financial/financial-aid-helpful-links,Null,0,36.2632,-81.7849,0.0,0.0
