UNITID,INSTNM,CITY,STABBR,ZIP,AccredAgency,INSTURL,NPCURL,sch_deg,HCM2,LATITUDE,LONGITUDE,CCSIZSET,ADM_RATE
206905,Pontotoc Technology Center,Ada,OK,74820,Oklahoma Board of Career and Technology Education,www.pontotoctech.edu,www.pontotoctech.edu,Null,0,34.7519,-96.6818,0.0,0.0
208026,Indian Capital Technology Center-Tahlequah,Tahlequah,OK,74464,Oklahoma Board of Career and Technology Education,www.ictctech.com,www.ictctech.com,Null,0,35.9202,-94.9915,0.0,0.0
208053,High Plains Technology Center,Woodward,OK,73801,Oklahoma Board of Career and Technology Education,www.hptc.net,www.hptc.net,Null,0,36.4062,-99.4273,0.0,0.0
245999,Francis Tuttle Technology Center,Oklahoma City,OK,73142-2789,Oklahoma Board of Career and Technology Education,www.francistuttle.edu,www.francistuttle.edu,Null,0,35.6005,-97.6407,0.0,0.0
363165,Metro Technology Centers,Oklahoma City,OK,73111-5240,Oklahoma Board of Career and Technology Education,www.metrotech.edu,www.metrotech.edu/student_services/NetPriceCalculator/npcalc.htm,Null,0,35.5125,-97.4782,0.0,0.0
364548,Great Plains Technology Center,Lawton,OK,73505-8399,Oklahoma Board of Career and Technology Education,www.greatplains.edu,www.greatplains.edu/adults/lawton-career-majors/,Null,0,34.594,-98.447,0.0,0.0
364946,Caddo Kiowa Technology Center,Fort Cobb,OK,73038-0190,Oklahoma Board of Career and Technology Education,www.caddokiowa.com,www.caddokiowa.com/net-price-calculator,Null,0,35.0951,-98.4424,0.0,0.0
365198,Southern Oklahoma Technology Center,Ardmore,OK,73401,Oklahoma Board of Career and Technology Education,www.sotc.edu,www.sotc.edu,Null,0,34.1854,-97.0832,0.0,0.0
365213,Autry Technology Center,Enid,OK,73703-2506,Oklahoma Board of Career and Technology Education,www.autrytech.edu,www.autrytech.edu/npcalc.htm,Null,0,36.4191,-97.8972,0.0,0.9224
365374,Canadian Valley Technology Center,El Reno,OK,73036,Oklahoma Board of Career and Technology Education,www.cvtech.edu,www.cvtech.edu/student-services/financial-aid,Null,0,35.5092,-97.882,0.0,0.0
365480,Meridian Technology Center,Stillwater,OK,74074-1899,Oklahoma Board of Career and Technology Education,www.meridiantech.edu,www.meridiantech.edu/individual/financial-aid#netpricecalc,Null,0,36.107,-97.1084,0.0,0.0
366623,Northwest Technology Center-Alva,Alva,OK,73717,Oklahoma Board of Career and Technology Education,www.nwtech.edu,www.nwtech.edu,Null,0,36.7867,-98.6757,0.0,0.0
368364,Southwest Technology Center,Altus,OK,73521,Oklahoma Board of Career and Technology Education,www.swtech.edu,www.swtech.edu/admissions/generalinfo/NetPriceCalculator.htm,Null,0,34.6682,-99.3412,0.0,0.0
