UNITID,INSTNM,CITY,STABBR,ZIP,AccredAgency,INSTURL,NPCURL,sch_deg,HCM2,LATITUDE,LONGITUDE,CCSIZSET,ADM_RATE
109086,American Conservatory Theater,San Francisco,CA,94108-5834,Western Association of Schools and Colleges Senior College and University Commission,www.act-sf.org,www.actaccess.org/netpricecalculator/npcalc.htm,Null,0,37.7873,-122.4049,0.0,0.0
109651,Art Center College of Design,Pasadena,CA,91103,Western Association of Schools and Colleges Senior College and University Commission,www.artcenter.edu,www.artcenter.edu/accd/admissions/financial_aid/net_price_calculator.jsp,Null,0,34.1708,-118.1869,0.0,0.8167
109785,Azusa Pacific University,Azusa,CA,91702-7000,Western Association of Schools and Colleges Senior College and University Commission,www.apu.edu,www.apu.edu/sfs/undergraduate/cost/calculator/,Null,0,34.1309,-117.888,14,0.7985
110370,California College of the Arts,San Francisco,CA,94107-2247,Western Association of Schools and Colleges Senior College and University Commission,www.cca.edu,www.cca.edu/admissions/financialaid/calculator,Null,0,37.8357,-122.2514,0.0,0.8157
110404,California Institute of Technology,Pasadena,CA,91125,Western Association of Schools and Colleges Senior College and University Commission,www.caltech.edu,www.finaid.caltech.edu/,Null,0,34.1393,-118.1257,11,0.1055
110468,Alliant International University,San Diego,CA,92131-1799,Western Association of Schools and Colleges Senior College and University Commission,www.alliant.edu,www.alliant.edu/_resources/net-price-cal/npcalc.htm,Null,0,32.8971,-117.0944,13,0.4922
110486,California State University-Bakersfield,Bakersfield,CA,93311-1099,Western Association of Schools and Colleges Senior College and University Commission,www.csub.edu,www.csumentor.edu/finaid/pais/,Null,0,35.35,-119.1047,12,0.6626
110495,California State University-Stanislaus,Turlock,CA,95382-0299,Western Association of Schools and Colleges Senior College and University Commission,www.csustan.edu,www.csumentor.edu/FinAid/PAIS/,Null,0,37.5258,-120.8525,12,0.7215
110510,California State University-San Bernardino,San Bernardino,CA,92407-2397,Western Association of Schools and Colleges Senior College and University Commission,www.csusb.edu,www.csumentor.edu/FinAid/pais/,Null,0,34.183,-117.3225,15,0.5831
110529,California State Polytechnic University-Pomona,Pomona,CA,91768,Western Association of Schools and Colleges Senior College and University Commission,www.csupomona.edu,www.csumentor.edu/finaid/pais/,Null,0,34.0543,-117.819,15,0.5218
110538,California State University-Chico,Chico,CA,95929-0150,Western Association of Schools and Colleges Senior College and University Commission,www.csuchico.edu,www.csuchico.edu/fa/awardInfo/cost.shtml,Null,0,39.728,-121.8463,15,0.7161
110547,California State University-Dominguez Hills,Carson,CA,90747-0005,Western Association of Schools and Colleges Senior College and University Commission,www.csudh.edu,www.csumentor.edu/finaid/pais/,Null,0,33.8652,-118.2593,15,0.5747
110556,California State University-Fresno,Fresno,CA,93740,Western Association of Schools and Colleges Senior College and University Commission,www.csufresno.edu,www.collegeportraits.org/CA/CSUFRESNO/costs,Null,0,36.8145,-119.7483,15,0.5815
110565,California State University-Fullerton,Fullerton,CA,92831-3599,Western Association of Schools and Colleges Senior College and University Commission,www.fullerton.edu,www.csumentor.edu/finaid/pais/,Null,0,33.8836,-117.8853,15,0.4579
110583,California State University-Long Beach,Long Beach,CA,90840-0115,Western Association of Schools and Colleges Senior College and University Commission,www.csulb.edu,www.csumentor.edu/finaid/pais/,Null,0,33.7828,-118.1123,15,0.3082
110592,California State University-Los Angeles,Los Angeles,CA,90032,Western Association of Schools and Colleges Senior College and University Commission,www.calstatela.edu,www.csumentor.edu/finaid/pais/,Null,0,34.0669,-118.169,15,0.6752
110608,California State University-Northridge,Northridge,CA,91330,Western Association of Schools and Colleges Senior College and University Commission,www.csun.edu,www.csumentor.edu/finaid/pais/,Null,0,34.2367,-118.5268,15,0.4624
110617,California State University-Sacramento,Sacramento,CA,95819-2694,Western Association of Schools and Colleges Senior College and University Commission,www.csus.edu,www.csumentor.edu/finaid/pais/,Null,0,38.5575,-121.4219,15,0.6968
